,Date,Texas,Austin,Dallas,Harris
10,3/11/20,1.4988887644243973,,,
11,3/12/20,1.2676443506599127,,,1.2229394715288944
12,3/13/20,1.2497174250118501,,,1.1515852199559669
13,3/14/20,1.3182247532429494,,,1.1074435067103372
14,3/15/20,1.339145836923222,,,1.1254785759787198
15,3/16/20,1.3480098477306195,,,1.1321312754066517
16,3/17/20,1.3150854879234062,,1.390822792812614,1.1296592779591048
17,3/18/20,1.3257901368151352,,1.3152011856053862,1.1461229076844166
18,3/19/20,1.3409759994862038,,1.2594299832876923,1.1987606842461525
19,3/20/20,1.359324186895228,,1.3368402117999292,1.245659733688107
20,3/21/20,1.4025804093074234,1.623132767097548,1.3942340794521815,1.3107303627198694
21,3/22/20,1.4228939272833616,1.5026367582594358,1.4255677343125692,1.3610510275293775
22,3/23/20,1.3981873798914168,1.4146843024494218,1.4469956158375885,1.3686117749543556
23,3/24/20,1.3380608835242376,1.318642174799963,1.3791737441231307,1.3006521004045692
24,3/25/20,1.2770437163363721,1.245141415645612,1.3070779261780465,1.2656480215186834
25,3/26/20,1.2584439233805544,1.177411556807147,1.2704516163410011,1.280052822101739
26,3/27/20,1.2480445818643224,1.1576141596347211,1.2562254235127777,1.261889666930474
27,3/28/20,1.2448519717765387,1.164740824557151,1.2470686397696535,1.2624072531460382
28,3/29/20,1.2501363771590825,1.1548214307567437,1.235124073541891,1.3284054182288905
29,3/30/20,1.2366304726084287,1.1549169896714797,1.2277813715307455,1.3469506994062512
30,3/31/20,1.2133323903659472,1.1345462719550012,1.2069723059848307,1.292356235641299
31,4/1/20,1.1920126826735475,1.1207948837455557,1.1654680483268953,1.2738368395525521
32,4/2/20,1.1814295633935565,1.1285230075965074,1.1514875265395474,1.2702248946763408
33,4/3/20,1.1700289624862985,1.1380778185014353,1.14243858266359,1.2313896159696955
34,4/4/20,1.1600237446480823,1.1596193913397173,1.136140089503611,1.167346655862469
35,4/5/20,1.1564756238479652,1.1674145901197257,1.1334330943698552,1.1688000076811225
36,4/6/20,1.1408806059838763,1.161021580323831,1.125050173543323,1.1643348759742538
37,4/7/20,1.1274378593811107,1.1275939081837938,1.1072516775242964,1.163047839561266
38,4/8/20,1.118896699337697,1.098345947964283,1.092715617555774,1.165939495565558
39,4/9/20,1.1123642449968,1.0810645852986118,1.080002005870903,1.1684243572841209
40,4/10/20,1.1112558255569407,1.0684347912144356,1.0733276025199976,1.181590940688393
41,4/11/20,1.1107091443166506,1.0720836553689614,1.069723756234387,1.1792453342675129
42,4/12/20,1.1083327290015994,1.0766254174563121,1.0691254567230895,1.167679321252984
43,4/13/20,1.0950948321472402,1.0753893880579777,1.0694302685789268,1.1304352257125991
44,4/14/20,1.0799385329212334,1.07309945753846,1.0630681217050995,1.1013209296844815
45,4/15/20,1.0680045526169721,1.071233677474445,1.0590089162254097,1.0761721469703596
46,4/16/20,1.0573093683016397,1.071410598984865,1.0537069103382808,1.0475186699735546
47,4/17/20,1.0548549346202654,1.0700086128321094,1.049430509233162,1.0433477291236952
48,4/18/20,1.0535631570475168,1.0665139968027029,1.04858730843591,1.0403472358912231
49,4/19/20,1.0545743237727692,1.0595742377614135,1.051241660881254,1.0435238740852664
50,4/20/20,1.0511721945700616,1.0458607285630708,1.052883770335577,1.0435689738086407
51,4/21/20,1.045674085284224,1.0403798771346933,1.0510375732981658,1.0411809787327793
52,4/22/20,1.041263431440024,1.0360999657715175,1.047694220380311,1.0382130309044606
53,4/23/20,1.0383220883558766,1.0349997601660679,1.0440315061390721,1.0335718697109744
54,4/24/20,1.0376491299091248,1.036298249003457,1.038351070374285,1.0289183808811477
55,4/25/20,1.038502599402319,1.040480313145051,1.033386386623391,1.0260343857833996
56,4/26/20,1.0385917979746462,1.0392191604532235,1.0305826483971936,1.0246938081418748
57,4/27/20,1.0370066123919848,1.0322948583864517,1.0298797788210359,1.0235982213146517
58,4/28/20,1.0327771778645314,1.0289930427869707,1.0295112682104768,1.0226668227346412
59,4/29/20,1.0308421508646641,1.030300603815981,1.0312234504509512,1.023720562983528
60,4/30/20,1.030183285258048,1.0306584405878554,1.0331332581838033,1.024307066508794
61,5/1/20,1.0321639518261816,1.0324121643631066,1.036932698807046,1.0241674137902266
62,5/2/20,1.0363720433793118,1.0348976152275018,1.0411564934077893,1.0260127196536857
63,5/3/20,1.0395225107568355,1.033858538313945,1.0444864106939897,1.0277893385352996
64,5/4/20,1.0410579419776589,1.0296160608232439,1.0487170518311184,1.0278490349315121
65,5/5/20,1.038492525620554,1.0263957488915156,1.0518569954284072,1.0259633938725532
66,5/6/20,1.0356224871868274,1.0261825101871966,1.054905805656395,1.0239912424726587
67,5/7/20,1.032337229573148,1.0276126570690096,1.055547978040299,1.0216245181962273
68,5/8/20,1.030571880116985,1.0304803684938686,1.0556460619230585,1.0198927327228937
69,5/9/20,1.0307217236832062,1.0326267131426552,1.0548888761268147,1.0203071986541625
70,5/10/20,1.031430334467143,1.0310928997995807,1.052597978192727,1.02175916616279
71,5/11/20,1.0308045531864511,1.0274157882841766,1.0502671504524446,1.0215433544565047
72,5/12/20,1.0303314444241467,1.0239032860501176,1.0478958026771965,1.0229544653477758
73,5/13/20,1.0296756742331141,1.0218115801654666,1.0455780187824868,1.0250321328351168
74,5/14/20,1.0290802230410387,1.0212456788568118,1.0433047136185918,1.0260385616050498
75,5/15/20,1.0292192956129982,1.021606511625281,1.0410924424431096,1.0258065054710854
76,5/16/20,1.0304738895354395,1.0228111760577236,1.0383962076313862,1.0261570565502238
